"Motivo del rechazo";"Campaña";"Fecha de presupuesto";"Nº documento";"Tercero";"Descripción";"Imp. total líneas";"Importe total";"Proyecto";"Estado doc.";"Coste Materiales Previstos";"Horas Previstas";"Creado por"
"";"";"06-05-2025";"PT/25599";"ORANGE ESPAÑA VIRTUAL S.L.U.";"49207 DBC INFORMATICA, SEVILLA .... A MEDIDA";1656,34;2004,17;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"MARIA ANTON DUARTE"
"";"";"06-05-2025";"PT/25598";"ORANGE ESPAÑA VIRTUAL S.L.U.";"57650 TELE-EYCO, SEVILLA .... A MEDIDA";1970,34;2384,11;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"MARIA ANTON DUARTE"
"";"";"06-05-2025";"PT/25597";"ORANGE ESPAÑA VIRTUAL S.L.U.";"44345 CONECTAMOS, EL EJIDO, ALMERÍA  .... A MEDIDA";2616,17;3165,57;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"TIENEN OTRA OFERTA MEJOR";"";"05-05-2025";"PT/25596";"CHEIL SPAIN S.L.";"GLOBOS LANZAMIENTO SLIM";7379,78;8929,53;"";"Cerrado - Rechazado";390;2;"AURELIO PULIDO"
"";"";"05-05-2025";"PT/25595";"COCONUT TIME EXPERIENCES, S.L.";"SOPORTE FORMENTERA";1572,10;1902,24;"250175 - COCONUT - IQOS SOPORTE FORMENTERA";"Cerrado - Pedido creado";228,6;6;"AURELIO PULIDO"
"";"";"05-05-2025";"PT/25594";"MARKETING DIRECTO";"CONECTADOS MAYO 2025";0,00;0,00;"250011 - MARKETING DIRECTO - PROYECTOS 2025";"Cerrado - Pedido creado";1;1;"AURELIO PULIDO"
"";"";"30-04-2025";"PT/25593";"ORANGE ESPAÑA VIRTUAL S.L.U.";"56277 ALDAVERO INFORMÁTICA, SANTA CRUZ DE MUDELA, CIUDAD REAL  .... A MEDIDA";1842,09;2228,93;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"";"30-04-2025";"PT/25592";"ORANGE ESPAÑA VIRTUAL S.L.U.";"56936 NDT EXPRESS, ARONA, TENERIFE .... A MEDIDA";2402,17;2906,63;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"TIENEN OTRA OFERTA MEJOR";"";"29-04-2025";"PT/25591";"LHB - LUCA GIUSEPPE BRUCCULERI";"LUCA SEIKO MAYO 2025";6174,05;7470,60;"";"Cerrado - Rechazado";1;1;"ADALBERTO"
"";"";"29-04-2025";"PT/25590";"ORANGE ESPAÑA VIRTUAL S.L.U.";"54397 SMART SIDE, ELCHE, ALICANTE .... A MEDIDA";2410,97;2917,27;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"";"28-04-2025";"PT/25589";"SAFILO SPAIN S.L.";"MUEBLE CAROLINA HERRERA ULLOA MALAGA 2025";14147,00;17117,87;"";"Cerrado - Pedido creado";2000;90;"ADALBERTO"
"";"";"29-04-2025";"PT/25588";"TECLISA, S.L.";"DIRECTORIO COLUMNA";361,71;437,67;"";"Cerrado - Pedido creado";78;1;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"29-04-2025";"PT/25587";"NOON SPAIN, S.L.";"MOSTRADOR";2553,24;3089,42;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"";"";"28-04-2025";"PT/25586";"SAFILO SPAIN S.L.";"MUEBLE CAROLINA HERRERA UNIVERSITARIA MADRID 2025";9263,00;11208,23;"";"Cerrado - Pedido creado";1500;70;"ADALBERTO"
"TIENEN OTRA OFERTA MEJOR";"";"25-04-2025";"PT/25585";"ORANGE ESPAÑA VIRTUAL S.L.U.";"50338 MOVILTEC, VALDEPEÑAS, CIUDAD REAL .... A MEDIDA";2073,70;2509,18;"";"Cerrado - Rechazado";1;1;"PILAR GOMEZ"
"";"";"29-04-2025";"PT/25584";"SAFILO SPAIN S.L.";"MUEBLE CAROLINA HERRERA ECI GOYA 2025";8993,40;10882,01;"";"Cerrado - Pedido creado";1500;70;"ADALBERTO"
"TIENEN OTRA OFERTA MEJOR";"";"25-04-2025";"PT/25583";"ABSOLUT WOOD, S.L.";"VINILO HORARIO";102,40;123,90;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"";"";"25-04-2025";"PT/25582";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"EVENTO LEFTIES CALLE BARQUILLO MAYO 2025";40947,68;49546,69;"";"Cerrado - Pedido creado";9855;440;"ADALBERTO"
"";"";"24-04-2025";"PT/25581";"ORANGE ESPAÑA VIRTUAL S.L.U.";"45583 TEC INFO POLA, POLA DE LENA, ASTURIAS .... A MEDIDA";2229,46;2697,65;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"CLIENTE RECURRENTE";"24-04-2025";"PT/25580";"NORTH SAILS";"ROTULACION SHOWROOM";1457,00;1762,97;"";"Bajo evaluación";250;20;"LAURA MUÑOZ"
"";"CLIENTE RECURRENTE";"23-04-2025";"PT/25579";"NORTH SAILS";"RECOGIDA MOBILIARIO NS ECI SAN JOSE DE VALDERAS";325,00;393,25;"";"Cerrado - Pedido creado";1;6;"LAURA MUÑOZ"
"TIENEN OTRA OFERTA MEJOR";"";"23-04-2025";"PT/25578";"SERINT GRUPO HMY";" BASKET EMOTION_CC MEGAPARK_BARAKALDO";4322,00;5229,62;"";"Cerrado - Rechazado";1050;30;"ADALBERTO"
"";"";"22-04-2025";"PT/25577";"ORANGE ESPAÑA VIRTUAL S.L.U.";"52627 MOVITEL, ALCAZAR DE SAN JUAN, CIUDAD REAL  .... A MEDIDA";2195,93;2657,08;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"";"22-04-2025";"PT/25576";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"EXTRAS LANCOME 2025";6801,30;8229,57;"";"Cerrado - Pedido creado";1000;50;"ADALBERTO"
"TIENEN OTRA OFERTA MEJOR";"";"21-04-2025";"PT/25575";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"MAC PLAZA OLAVIDE";46248,90;55961,17;"";"Cerrado - Rechazado";9600;500;"ADALBERTO"
"";"";"21-04-2025";"PT/25574";"ORANGE ESPAÑA VIRTUAL S.L.U.";"ENVIO ELEMENTOS WEB - 374-378, 379, 382";312,96;378,68;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";10;1;"MARIA ANTON DUARTE"
"TIENEN OTRA OFERTA MEJOR";"";"21-04-2025";"PT/25573";"GG FITNESS TERRASSA, S.L";"DECORACION FACHADA LOCAL";17699,65;21416,58;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"16-04-2025";"PT/25572";"COCONUT TIME EXPERIENCES, S.L.";"CAMBIO IMAGEN MESAS NESPRESSO";11809,26;14289,20;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"15-04-2025";"PT/25571";"IMPULSA EVENTOS E INSTALACIONES S.A.";"DIBOND FACHADA GOYA MOVISTAR ARENA";10480,00;12680,80;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"";"";"15-04-2025";"PT/25570";"COCONUT TIME EXPERIENCES, S.L.";"TAG BTQ PROFESSIONAL";648,69;784,91;"250182 - COCONUT - PLACA PROFESSIONAL";"Cerrado - Pedido creado";130;4;"AURELIO PULIDO"
"";"";"15-04-2025";"PT/25569";"ORANGE ESPAÑA VIRTUAL S.L.U.";"ENVIO ELEMENTOS WEB - 356, 365-368, 370-372, 381, 359";469,44;568,02;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";10;1;"MARIA ANTON DUARTE"
"";"";"15-04-2025";"PT/25568";"FONDO SUPPER CLUB, S.L.";"LONAS PERFIL DE SILICONA";370,50;448,31;"";"Cerrado - Pedido creado";70;4;"ADALBERTO"
"TIENEN OTRA OFERTA MEJOR";"";"15-04-2025";"PT/25567";"HERMES IBERICA";"HERMES ESTRUCTURAS DE CEREZO NATURAL MARBELLA";13343,90;16146,12;"";"Cerrado - Rechazado";2315;158;"ADALBERTO"
"DUPLICADO";"";"15-04-2025";"PT/25566";"AMALIA DI GREGORIO";"LONAS PERFIL DE SILICONA";370,50;448,31;"";"Cerrado - Rechazado";70;4;"ADALBERTO"
"";"";"14-04-2025";"PT/25565";"LOUIS VUITTON";"TRAVEL AGOSTO 2025";28471,00;34449,91;"";"Cerrado - Pedido creado";2500;350;"ADALBERTO"
"TIENEN OTRA OFERTA MEJOR";"";"14-04-2025";"PT/25564";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"HERMES POP UP PUERTA BANUS SIN OBRA";64498,50;78043,19;"";"Cerrado - Rechazado";10000;500;"ADALBERTO"
"TIENEN OTRA OFERTA MEJOR";"";"14-04-2025";"PT/25563";"IMPULSA EVENTOS E INSTALACIONES S.A.";"VINILO FACHADA MOVISTAR ARENA";1390,00;1681,90;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"SIN RESPUESTA DE CLIENTE";"";"14-04-2025";"PT/25562";"COLEGIO SAN GABRIEL";"ROTULO POLIDEPORTIVO";1217,15;1472,75;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"";"";"11-04-2025";"PT/25561";"COCONUT TIME EXPERIENCES, S.L.";"DESMONTAJE SOPORTE PANTALLAS NACIONAL";5888,20;7124,72;"250112 - COCONUT - IQOS LANZAMIENTO ILUMA NACIONAL";"Cerrado - Pedido creado";390;8;"AURELIO PULIDO"
"NO TIENEN PRESUPUESTO";"";"15-04-2025";"PT/25560";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"WOZERE LEFTIES PARQUESUR";38510,00;46597,10;"";"Cerrado - Rechazado";7200;280;"ADALBERTO"
"";"";"10-04-2025";"PT/25559";"COCONUT TIME EXPERIENCES, S.L.";"CLAIM IQOS SERRANO";294,32;356,13;"";"Cerrado - Pedido creado";10;10;"AURELIO PULIDO"
"";"";"10-04-2025";"PT/25558";"ORANGE ESPAÑA VIRTUAL S.L.U.";"ENVIO ELEMENTOS WEB - 325-330, 361";273,84;331,35;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";10;1;"MARIA ANTON DUARTE"
"";"";"10-04-2025";"PT/25557";"COCONUT TIME EXPERIENCES, S.L.";"ARREGLO CAJAS FUERTES";268,00;324,28;"250112 - COCONUT - IQOS LANZAMIENTO ILUMA NACIONAL";"Cerrado - Pedido creado";0;6;"AURELIO PULIDO"
"SIN RESPUESTA DE CLIENTE";"";"09-04-2025";"PT/25556";"ORANGE ESPAÑA VIRTUAL S.L.U.";"ENVÍO CABALLETE Y GRÁFICA";308,80;373,65;"";"Cerrado - Rechazado";1;1;"MARIA ANTON DUARTE"
"";"";"09-04-2025";"PT/25555";"ORANGE ESPAÑA VIRTUAL S.L.U.";"5327 SINGH TELECOM, ARBUCIES, GIRONA  .... A MEDIDA";2630,74;3183,20;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"";"09-04-2025";"PT/25554";"ORANGE ESPAÑA VIRTUAL S.L.U.";"ENVIO ELEMENTOS WEB - 362 PEDIDO ESPECIAL ELEMENTOS IDENTIFICACIÓN LOGROÑO";39,12;47,34;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"";"09-04-2025";"PT/25553";"ORANGE ESPAÑA VIRTUAL S.L.U.";"29918 SINGH TELECOM, SANT HILARI DE SACALM, GIRONA  .... A MEDIDA";2390,71;2892,76;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"";"09-04-2025";"PT/25552";"SAFILO SPAIN S.L.";"SAFILO CAMBIO DE IMAGENES CAROLINA HERRERA SANCHINARRO";488,00;590,48;"";"Cerrado - Pedido creado";100;6;"ADALBERTO"
"TIENEN OTRA OFERTA MEJOR";"";"09-04-2025";"PT/25551";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"HERMES POP UP PUERTA BANUS";109903,46;132983,19;"";"Cerrado - Rechazado";32000;600;"ADALBERTO"
"";"";"08-04-2025";"PT/25550";"LOUIS VUITTON";"RESORT MAYO  2025";29481,00;35672,01;"";"Cerrado - Pedido creado";2500;350;"ADALBERTO"
"";"";"08-04-2025";"PT/25549";"COCONUT TIME EXPERIENCES, S.L.";"VINILO ESCAPARATE IQOS SERRANO";842,70;1019,67;"250112 - COCONUT - IQOS LANZAMIENTO ILUMA NACIONAL";"Cerrado - Pedido creado";93;1;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"08-04-2025";"PT/25548";"JOYERIA TOUS, S.A.";"RAMBLA CATALUÑA";5842,10;7068,94;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"SIN RESPUESTA DE CLIENTE";"";"07-04-2025";"PT/25547";"MOTORTOWN";"PUERTA ACCESO AIRE ACONDICIONADO";884,19;1069,87;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"";"";"04-04-2025";"PT/25546";"COCONUT TIME EXPERIENCES, S.L.";"PIEZAS ANDORRA IQOS";1560,74;1888,50;"250112 - COCONUT - IQOS LANZAMIENTO ILUMA NACIONAL";"Cerrado - Pedido creado";170;0;"AURELIO PULIDO"
"";"";"04-04-2025";"PT/25545";"ORANGE ESPAÑA VIRTUAL S.L.U.";"ENVIO ELEMENTOS WEB - 311, 312, 313, 314 (MAXIMOVIL PLUS)";391,20;473,35;"";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"";"04-04-2025";"PT/25544";"ORANGE ESPAÑA VIRTUAL S.L.U.";"52505 VALFER, PONFERRADA, LEÓN .... A MEDIDA";1887,03;2283,31;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"TIENEN OTRA OFERTA MEJOR";"";"04-04-2025";"PT/25543";"SERINT GRUPO HMY";"SERINT ROTULOS MAPFRE COLMENAR VIEJO";7331,25;8870,81;"";"Cerrado - Rechazado";1500;60;"ADALBERTO"
"";"";"04-04-2025";"PT/25542";"HERMES INTERNACIONAL PORTUGAL";"HERMES TRUNK SHOW LISBOA MARZO 2025";5030,00;5030,00;"";"Cerrado - Pedido creado";721,62;1;"ADALBERTO"
"";"";"04-04-2025";"PT/25541";"GIORGIO ARMANI RETAIL SUCURSAL";"VINILO MID SEASON PLAZA RIO 2";97,00;117,37;"";"Cerrado - Pedido creado";10;1;"ADALBERTO"
"TIENEN OTRA OFERTA MEJOR";"";"04-04-2025";"PT/25540";"ORANGE ESPAÑA VIRTUAL S.L.U.";"ELEMENTOS KIT BÁSICO (POSTERFIX A4)";20820,00;25192,20;"";"Cerrado - Rechazado";1;1;"PILAR GOMEZ"
"TIENEN OTRA OFERTA MEJOR";"";"03-04-2025";"PT/25539";"CHEIL SPAIN S.L.";"PARADIGMA EDGE";10668,21;12908,53;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"";"";"03-04-2025";"PT/25538";"IPMARK";"EVENTO ABRIL 2025";0,00;0,00;"250003 - IPMARK - EVENTOS 2025";"Cerrado - Pedido creado";1;1;"AURELIO PULIDO"
"";"";"02-04-2025";"PT/25537";"ORANGE ESPAÑA VIRTUAL S.L.U.";"52283 TALLER DEL MOVIL, BALAGUER, LLEIDA  .... A MEDIDA";1483,12;1794,58;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"";"01-04-2025";"PT/25535";"COCONUT TIME EXPERIENCES, S.L.";"FERRICO IMPRESO";453,28;548,47;"250055/83 - COCOTIME - FERRICO OVALADO NESPRESSO";"Cerrado - Pedido creado";72;2;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"31-03-2025";"PT/25534";"COCONUT TIME EXPERIENCES, S.L.";"BANDEJAS ILUMA";4346,80;5259,63;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"";"";"31-03-2025";"PT/25533";"CALVIN KLEIN EUROPE";"DISPLAY EXTRA";1384,00;1384,00;"250094 - CALVIN KLEIN - CORNERS ECIS UNDERWEAR";"Cerrado - Pedido creado";1;1;"LAURA MUÑOZ"
"";"";"31-03-2025";"PT/25532";"RALPH LAUREN ESPAÑA S.L.";"VINILO PUERTA TIENDA JORGE JUAN PEGADO POR DENTRO";141,50;171,22;"";"Cerrado - Pedido creado";10;3;"ADALBERTO"
"TIENEN OTRA OFERTA MEJOR";"";"28-03-2025";"PT/25531";"SERINT GRUPO HMY";"ROTULOS KIDS AND US CAMINO DE VINATEROS 5 MADRID";8550,95;10346,65;"";"Cerrado - Rechazado";2000;50;"ADALBERTO"
"TIENEN OTRA OFERTA MEJOR";"";"28-03-2025";"PT/25530";"SERINT GRUPO HMY";"ROTULOS KIDS AND US LAGUNA NEGRA MADRID";10404,40;12589,32;"";"Cerrado - Rechazado";2000;50;"ADALBERTO"
"NO TIENEN PRESUPUESTO";"";"27-03-2025";"PT/25529";"ALMUDENA PEINADO TURIENZO";"COMUNIDAD PROPIETARIOS";1508,01;1824,69;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"27-03-2025";"PT/25528";"SAFILO SPAIN S.L.";"POLAROID GONDOLA BARCELONA Y FUERTEVENTURA";70564,00;85382,44;"";"Cerrado - Rechazado";19000;800;"ADALBERTO"
"TIENEN OTRA OFERTA MEJOR";"";"26-03-2025";"PT/25527";"LAST LAP S.L.";"MOBILIARIO TIENDAS";859878,90;1040453,47;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"";"";"26-03-2025";"PT/25526";"COCONUT TIME EXPERIENCES, S.L.";"EXTRAS ILUMA";6205,19;7508,28;"250112 - COCONUT - IQOS LANZAMIENTO ILUMA NACIONAL";"Cerrado - Pedido creado";750;0;"AURELIO PULIDO"
"";"";"21-02-2025";"PT/25525";"CALVIN KLEIN EUROPE";"CORNERS ECI UNDERWEAR WOMAN";21256,38;21256,38;"250094 - CALVIN KLEIN - CORNERS ECIS UNDERWEAR";"Cerrado - Pedido creado";4850;62;"BELEN ESPEJO"
"";"";"26-03-2025";"PT/25524";"ORANGE ESPAÑA VIRTUAL S.L.U.";"58359 (211) MY CONNECT, CIUDAD RODRIGO, SALAMANCA ....  A MEDIDA";1594,82;1929,73;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"";"26-03-2025";"PT/25523";"COCONUT TIME EXPERIENCES, S.L.";"REPETICION CHAPAS GLORIFICADORES";0,00;0,00;"";"Cerrado - Pedido creado";72;4;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"25-03-2025";"PT/25522";"COCONUT TIME EXPERIENCES, S.L.";"ESCAPARATES ILUMA ABRIL OFICINAS IQOS";13556,51;16403,38;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"";"";"25-03-2025";"PT/25521";"COCONUT TIME EXPERIENCES, S.L.";"ESCAPARATES ILUMA ABRIL SERRANO";37950,58;45920,20;"250112 - COCONUT - IQOS LANZAMIENTO ILUMA NACIONAL";"Cerrado - Pedido creado";5980;120;"AURELIO PULIDO"
"";"";"25-03-2025";"PT/25520";"COCONUT TIME EXPERIENCES, S.L.";"ESCAPARATES ILUMA ABRIL NACIONAL";46749,81;56567,27;"250112 - COCONUT - IQOS LANZAMIENTO ILUMA NACIONAL";"Cerrado - Pedido creado";18638;10;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"24-03-2025";"PT/25519";"RALPH LAUREN ESPAÑA S.L.";"IMPRESION DE IMAGENES SHOWROOM MARZO 2025 III";82,70;100,07;"";"Cerrado - Rechazado";1;1;"ADALBERTO"
"TIENEN OTRA OFERTA MEJOR";"";"21-03-2025";"PT/25518";"IMPULSA EVENTOS E INSTALACIONES S.A.";"VINILOS PUERTAS CHILLY";18955,00;22935,55;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"";"";"21-03-2025";"PT/25517";"ORANGE ESPAÑA VIRTUAL S.L.U.";"1827 ZBITT, ARROYO DE LA LUZ, CÁCERES  .... COMPLETO";0,00;0,00;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"MARIA ANTON DUARTE"
"";"";"21-03-2025";"PT/25516";"ORANGE ESPAÑA VIRTUAL S.L.U.";"54232 MY PHONE, ALZIRA, VALENCIA  .... A MEDIDA";1944,20;2352,48;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"";"21-03-2025";"PT/25515";"ORANGE ESPAÑA VIRTUAL S.L.U.";"53641 - MY PHONE CARCAIXENT VALENCIA PIEZAS FACHADA";65,52;79,28;"";"Cerrado - Pedido creado";1;1;"MARIA ANTON DUARTE"
"";"";"20-03-2025";"PT/25514";"ORANGE ESPAÑA VIRTUAL S.L.U.";"ENVIO ELEMENTOS WEB - 244, 245, 252, 256, 257, 280, 260-268";665,04;804,70;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";10;1;"PILAR GOMEZ"
"";"";"20-03-2025";"PT/25513";"ORANGE ESPAÑA VIRTUAL S.L.U.";"54264 MAXPHONE, CIUDAD REAL  .... A MEDIDA";780,00;943,80;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"TIENEN OTRA OFERTA MEJOR";"";"20-03-2025";"PT/25512";"CHEIL SPAIN S.L.";"DISPLAY SLIM METACRILATO";19710,00;23849,10;"";"Cerrado - Rechazado";1600;10;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"20-03-2025";"PT/25511";"CHEIL SPAIN S.L.";"DISPLAY SLIM METAL";38356,00;46410,76;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"";"";"19-03-2025";"PT/25510";"RALPH LAUREN ESPAÑA S.L.";"MONTAJE IMAGENES JORGE JUAN 5";324,00;392,04;"";"Cerrado - Pedido creado";15;4;"ADALBERTO"
"";"";"19-03-2025";"PT/25509";"ORANGE ESPAÑA VIRTUAL S.L.U.";"28629 LOU MOVIL, CULLAR VEGA, GRANADA  .... A MEDIDA";2054,14;2485,51;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"TIENEN OTRA OFERTA MEJOR";"";"19-03-2025";"PT/25508";"FLYING BARK ESPAÑA, S.L.";"DECORACION LOCAL";2119,65;2564,78;"";"Cerrado - Rechazado";0;0;"AURELIO PULIDO"
"";"";"19-03-2025";"PT/25507";"ORANGE ESPAÑA VIRTUAL S.L.U.";"56276, 46643, 1827 - REVISITAS - PRESUPUESTO 0 ";0,00;0,00;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";1;1;"MARIA ANTON DUARTE"
"DUPLICADO";"";"19-03-2025";"PT/25506";"COCONUT TIME EXPERIENCES, S.L.";"VACHERON EVENT FOUR SEASON";49576,31;59987,34;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"NO TIENEN PRESUPUESTO";"";"18-03-2025";"PT/25505";"COLEGIO SAN GABRIEL";"PLACAS METACRILATO";1964,00;2376,44;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"18-03-2025";"PT/25504";"CHEIL SPAIN S.L.";"ENTREGA MATERIAL CBL";430,00;520,30;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"DUPLICADO";"";"18-03-2025";"PT/25503";"COCONUT TIME EXPERIENCES, S.L.";"ESCAPARATES ILUMA ABRIL OFICINAS IQOS";15413,44;18650,26;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"17-03-2025";"PT/25502";"CHEIL SPAIN S.L.";"NUEVA ACTIVACION PLINKO";6318,09;7644,89;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"DUPLICADO";"";"18-03-2025";"PT/25501";"COCONUT TIME EXPERIENCES, S.L.";"ESCAPARATES ILUMA ABRIL NACIONAL";52320,60;63307,93;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"DUPLICADO";"";"18-03-2025";"PT/25500";"COCONUT TIME EXPERIENCES, S.L.";"ESCAPARATES ILUMA ABRIL SERRANO";42381,07;51281,09;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"";"";"18-03-2025";"PT/25499";"IPMARK";"PHOTOCALL REUNION JURADO FOOD ";0,00;0,00;"240313 - IPMARK - EVENTOS 2024";"Cerrado - Pedido creado";1;1;"AURELIO PULIDO"
"";"";"18-03-2025";"PT/25497";"RALPH LAUREN ESPAÑA S.L.";"IMPRESION DE IMAGENES SHOWROOM MARZO 2025";822,51;995,24;"";"Cerrado - Pedido creado";50;4;"ADALBERTO"
"TIENEN OTRA OFERTA MEJOR";"";"18-03-2025";"PT/25496";"SERINT GRUPO HMY";"FUTBOL EMOTION  PARQUE SUR ESTRUCTURA METALICA + COMPOSITE";66710,00;80719,10;"";"Cerrado - Rechazado";4000;500;"ADALBERTO"
"";"";"17-03-2025";"PT/25495";"JOSE MENENDEZ S.L.";"DISEÑO FORMULARIO";65,00;78,65;"";"Cerrado - Pedido creado";0;3;"BELEN ESPEJO"
"";"";"17-03-2025";"PT/25494";"RALPH LAUREN ESPAÑA S.L.";"IMPRESION DE IMAGENES SHOWROOM MARZO 2025 II";556,40;673,24;"";"Cerrado - Pedido creado";50;3;"ADALBERTO"
"";"";"17-03-2025";"PT/25493";"GIORGIO ARMANI RETAIL SUCURSAL";"CAMBIO LONA BARCELONA MARZO 25";150,00;181,50;"";"Cerrado - Pedido creado";75;1;"ADALBERTO"
"DUPLICADO";"";"17-03-2025";"PT/25492";"COCONUT TIME EXPERIENCES, S.L.";"NUEVA ACTIVACION PLINKO";6318,09;7644,89;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"17-03-2025";"PT/25491";"SERINT GRUPO HMY";"FUTBOL EMOTION PAQUE SUR LEGANES VINILO DE OBRA";3613,00;4371,73;"";"Cerrado - Rechazado";1000;30;"ADALBERTO"
"";"";"17-03-2025";"PT/25490";"ORANGE ESPAÑA VIRTUAL S.L.U.";"ENVIO ELEMENTOS - VOZIPYME CANARIAS";1583,20;1915,67;"25ORANGE - ORANGE - SIMYO 2025";"Cerrado - Pedido creado";10;1;"PILAR GOMEZ"
"";"";"17-03-2025";"PT/25489";"COCONUT TIME EXPERIENCES, S.L.";"EXTRAS MESAS IQOS";64,75;78,35;"250112 - COCONUT - IQOS LANZAMIENTO ILUMA NACIONAL";"Cerrado - Pedido creado";1;1;"AURELIO PULIDO"
"";"";"17-03-2025";"PT/25488";"FUNDACION UNIVERSIDAD FRANCISCO DE VITORIA";"LOGOS UNIVERSIDAD FRANCISCO DE VITORIA";771,22;933,18;"250131 - UNIVERSIDAD FRANCISCO DE VITORIA - CORPOREAS ROTULO";"Cerrado - Pedido creado";87,5;2;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"17-03-2025";"PT/25486";"SERINT GRUPO HMY";"TOTEM MAPFRE MURCIA";10787,00;13052,27;"";"Cerrado - Rechazado";1500;50;"ADALBERTO"
